Id,Bound
2000,0
2001,0
2002,1
2003,1
2004,1
2005,0
2006,0
2007,0
2008,1
2009,1
2010,1
2011,0
2012,1
2013,0
2014,1
2015,0
2016,1
2017,1
2018,1
2019,1
2020,0
2021,0
2022,1
2023,1
2024,0
2025,0
2026,1
2027,1
2028,0
2029,1
2030,1
2031,0
2032,1
2033,1
2034,1
2035,0
2036,1
2037,1
2038,0
2039,1
2040,0
2041,0
2042,1
2043,1
2044,0
2045,0
2046,0
2047,0
2048,1
2049,0
2050,0
2051,1
2052,0
2053,0
2054,0
2055,0
2056,0
2057,0
2058,1
2059,1
2060,0
2061,0
2062,1
2063,0
2064,0
2065,0
2066,1
2067,1
2068,0
2069,1
2070,1
2071,0
2072,0
2073,1
2074,0
2075,1
2076,1
2077,0
2078,0
2079,0
2080,1
2081,0
2082,1
2083,0
2084,0
2085,1
2086,1
2087,1
2088,1
2089,0
2090,1
2091,0
2092,1
2093,0
2094,1
2095,0
2096,0
2097,0
2098,0
2099,0
2100,1
2101,1
2102,0
2103,1
2104,0
2105,1
2106,0
2107,1
2108,0
2109,1
2110,0
2111,0
2112,0
2113,0
2114,1
2115,1
2116,0
2117,0
2118,1
2119,1
2120,1
2121,1
2122,0
2123,1
2124,0
2125,1
2126,1
2127,0
2128,0
2129,1
2130,1
2131,0
2132,0
2133,1
2134,1
2135,1
2136,1
2137,1
2138,0
2139,1
2140,0
2141,0
2142,0
2143,0
2144,0
2145,1
2146,1
2147,1
2148,1
2149,0
2150,1
2151,0
2152,1
2153,1
2154,0
2155,1
2156,1
2157,0
2158,1
2159,1
2160,0
2161,0
2162,0
2163,0
2164,0
2165,0
2166,1
2167,1
2168,1
2169,0
2170,1
2171,1
2172,1
2173,1
2174,1
2175,1
2176,0
2177,0
2178,0
2179,1
2180,1
2181,1
2182,0
2183,0
2184,1
2185,0
2186,0
2187,1
2188,1
2189,0
2190,1
2191,0
2192,1
2193,0
2194,0
2195,0
2196,1
2197,0
2198,0
2199,0
2200,1
2201,0
2202,1
2203,1
2204,1
2205,0
2206,0
2207,1
2208,0
2209,1
2210,1
2211,0
2212,1
2213,0
2214,0
2215,0
2216,1
2217,1
2218,0
2219,1
2220,1
2221,1
2222,0
2223,0
2224,1
2225,0
2226,1
2227,1
2228,0
2229,1
2230,0
2231,0
2232,1
2233,0
2234,1
2235,0
