Id,Bound
4000,1
4001,1
4002,1
4003,0
4004,1
4005,1
4006,0
4007,0
4008,0
4009,0
4010,0
4011,1
4012,0
4013,0
4014,1
4015,0
4016,0
4017,1
4018,1
4019,0
4020,0
4021,0
4022,1
4023,1
4024,1
4025,1
4026,1
4027,0
4028,1
4029,0
4030,1
4031,1
4032,0
4033,1
4034,1
4035,0
4036,0
4037,0
4038,1
4039,0
4040,0
4041,1
4042,1
4043,1
4044,0
4045,1
4046,0
4047,1
4048,1
4049,0
4050,0
4051,1
4052,1
4053,1
4054,1
4055,1
4056,1
4057,1
4058,1
4059,1
4060,1
4061,0
4062,1
4063,1
4064,1
4065,0
4066,1
4067,0
4068,1
4069,1
4070,0
4071,0
4072,0
4073,0
4074,1
4075,0
4076,1
4077,1
4078,1
4079,0
4080,1
4081,0
4082,0
4083,0
4084,1
4085,1
4086,1
4087,1
4088,0
4089,0
4090,1
4091,1
4092,0
4093,0
4094,0
4095,1
4096,1
4097,0
4098,1
4099,1
4100,1
4101,0
4102,1
4103,1
4104,1
4105,0
4106,1
4107,0
4108,1
4109,1
4110,0
4111,1
4112,0
4113,0
4114,0
4115,0
4116,0
4117,0
4118,0
4119,1
4120,0
4121,1
4122,1
4123,0
4124,0
4125,0
4126,0
4127,1
4128,1
4129,1
4130,1
4131,1
4132,0
4133,1
4134,1
4135,1
4136,1
4137,1
4138,1
4139,0
4140,0
4141,1
4142,1
4143,0
4144,1
4145,1
4146,0
4147,0
4148,0
4149,0
4150,0
4151,0
4152,0
4153,0
4154,1
4155,1
4156,0
4157,0
4158,1
4159,0
4160,1
4161,1
4162,1
4163,1
4164,0
4165,1
4166,1
4167,0
4168,1
4169,0
4170,0
4171,1
4172,0
4173,1
4174,0
4175,0
4176,1
4177,0
4178,0
4179,0
4180,1
4181,0
4182,0
4183,0
4184,1
4185,0
4186,1
4187,1
4188,1
4189,0
4190,1
4191,1
4192,1
4193,1
4194,0
4195,1
4196,1
4197,1
4198,1
4199,1
4200,1
4201,0
4202,0
4203,1
4204,1
4205,0
4206,0
4207,0
4208,1
4209,1
4210,0
4211,1
4212,0
4213,0
4214,1
4215,0
4216,1
4217,1
4218,0
4219,0
4220,0
4221,0
4222,1
4223,0
4224,1
4225,1
4226,0
4227,0
4228,1
4229,0
4230,0
4231,0
4232,0
4233,1
4234,0
4235,1
4236,1
4237,1
4238,1
4239,0
4240,0
4241,0
4242,1
4243,0
4244,0
4245,1
4246,0
4247,0
4248,1
4249,1
4250,0
4251,0
4252,0
4253,1
4254,0
4255,0
4256,1
4257,0
4258,0
4259,0
4260,0
4261,0
4262,0
4263,0
4264,1
4265,1
4266,1
4267,1
4268,0
4269,0
4270,0
4271,0
4272,0
4273,1
4274,1
4275,1
4276,1
4277,1
4278,0
4279,1
4280,0
4281,1
4282,0
4283,0
4284,0
4285,0
4286,1
4287,0
4288,1
4289,1
4290,1
4291,0
4292,1
4293,1
4294,0
4295,0
4296,0
4297,0
4298,1
4299,0
4300,1
4301,1
4302,1
4303,1
4304,1
4305,0
4306,0
4307,0
4308,0
4309,0
4310,1
4311,0
4312,0
4313,0
4314,0
4315,0
4316,0
4317,1
4318,1
4319,0
4320,0
4321,0
4322,1
4323,1
4324,1
4325,0
4326,1
4327,0
4328,0
4329,0
4330,1
4331,0
4332,1
4333,0
4334,0
4335,1
4336,1
4337,0
4338,0
4339,1
4340,0
4341,0
4342,1
4343,1
4344,1
4345,1
4346,0
4347,0
4348,0
4349,1
4350,1
4351,1
4352,0
4353,0
4354,1
4355,1
4356,1
4357,0
4358,1
4359,0
4360,0
4361,0
4362,0
4363,0
4364,1
4365,0
4366,1
4367,1
4368,0
4369,1
4370,0
4371,0
4372,0
4373,1
4374,1
4375,0
4376,0
4377,0
4378,0
4379,0
4380,1
4381,1
4382,1
4383,0
4384,1
4385,0
4386,0
4387,0
4388,0
4389,1
4390,0
4391,1
4392,0
4393,1
4394,1
4395,0
4396,1
4397,0
4398,1
4399,1
4400,0
4401,0
4402,0
4403,0
4404,0
4405,1
4406,0
4407,0
4408,0
4409,1
4410,0
4411,0
4412,1
4413,1
4414,0
4415,1
4416,0
4417,0
4418,0
4419,1
4420,1
4421,0
4422,0
4423,0
4424,0
4425,1
4426,0
4427,1
4428,1
4429,1
4430,1
4431,1
4432,0
4433,0
4434,1
4435,0
4436,0
4437,1
4438,1
4439,1
4440,1
4441,1
4442,1
4443,1
4444,1
4445,1
4446,1
4447,1
4448,0
